invoice_no,customer_id,gender,age,category,quantity,Price,payment_method,Datetime,shopping_mall
I205482,C746946,Male,67,Souvenir,4,46.92,Credit Card,2021-03-27,Cevahir AVM
I194286,C173213,Female,60,Clothing,5,1500.4,Credit Card,2022-07-22,Forum Istanbul
I237508,C582445,Female,35,Cosmetics,2,81.32,Debit Card,2023-01-21,Istinye Park
I400031,C135042,Female,48,Technology,2,2100.0,Cash,2021-06-22,Metropol AVM
I314906,C728107,Male,26,Clothing,5,1500.4,Debit Card,2022-10-31,Mall of Istanbul
I208017,C894494,Female,30,Food & Beverage,5,26.15,Credit Card,2022-05-27,Metrocity
I172639,C772334,Female,49,Books,1,15.15,Credit Card,2021-02-24,Mall of Istanbul
I161266,C146431,Female,43,Cosmetics,2,81.32,Cash,2023-02-25,Kanyon
I131313,C309982,Female,55,Cosmetics,3,121.98,Cash,2022-01-31,Metropol AVM
I237991,C250510,Male,34,Clothing,5,1500.4,Debit Card,2021-05-22,Emaar Square Mall
I107251,C202952,Male,43,Clothing,1,300.08,Cash,2021-11-27,Istinye Park
I126743,C270846,Female,35,Cosmetics,1,40.66,Cash,2022-02-27,Viaport Outlet
I211483,C224817,Female,40,Clothing,2,600.16,Cash,2022-04-14,Kanyon
I587941,C253788,Male,43,Souvenir,1,11.73,Debit Card,2021-12-28,Metropol AVM
I150859,C138196,Male,19,Clothing,1,300.08,Cash,2022-02-16,Istinye Park
I134759,C106637,Male,42,Toys,2,71.68,Credit Card,2021-02-15,Emaar Square Mall
I202644,C108358,Female,55,Clothing,4,1200.32,Credit Card,2022-10-19,Viaport Outlet
I313957,C508390,Male,57,Food & Beverage,3,15.69,Debit Card,2022-04-23,Istinye Park
I173527,C196424,Male,18,Toys,2,71.68,Credit Card,2022-02-24,Metropol AVM
I120130,C112163,Male,57,Technology,5,5250.0,Debit Card,2021-12-14,Mall of Istanbul
I239900,C327055,Female,29,Toys,4,143.36,Debit Card,2021-05-13,Mall of Istanbul
I472530,C265418,Female,44,Shoes,3,1800.51,Cash,2022-05-20,Kanyon
I182758,C106160,Female,29,Cosmetics,5,203.3,Cash,2021-06-19,Forum Istanbul
I272746,C185652,Female,61,Books,2,30.3,Cash,2021-08-27,Istinye Park
I311500,C795567,Male,39,Food & Beverage,4,20.92,Cash,2022-12-31,Kanyon
