invoice_no,customer_id,gender, age ,category,quantity,Price,payment_method,invoice_date,shopping_mall
I141568,C318499,Male,52,Clothing,2,600.16,Cash,25/07/2021,Zorlu Center
I284485,C171445,Female,26,Souvenir,3,35.19,Credit Card,10/1/23,Mall of Istanbul
I122310,C987371,Male,33,Food & Beverage,4,20.92,Credit Card,2/4/21,Istinye Park
I759941,C265485,Female,51,Toys,3,107.52,Cash,28/10/2022,Mall of Istanbul
I241257,C211517,Female,20,Souvenir,1,11.73,Credit Card,1/3/22,Mall of Istanbul
I111741,C219190,Female,58,Shoes,4,2400.68,Cash,9/8/21,Mall of Istanbul
I198871,C539986,Male,22,Shoes,1,600.17,Cash,25/07/2021,Metrocity
I860085,C189944,Male,24,Cosmetics,2,81.32,Cash,23/07/2022,Metrocity
I252168,C330466,Female,54,Shoes,2,1200.34,Cash,25/02/2023,Istinye Park
I451093,C225234,Female,29,Clothing,1,300.08,Debit Card,8/9/21,Viaport Outlet
I985965,C155235,Female,24,Clothing,4,1200.32,Cash,21/11/2021,Metrocity
I324914,C164957,Female,56,Toys,4,143.36,Credit Card,31/08/2022,Kanyon
I190935,C140463,Male,27,Shoes,2,1200.34,Credit Card,5/7/21,Kanyon
I229322,C272570,Male,58,Clothing,3,900.24,Debit Card,23/06/2021,Kanyon
I234569,C216200,Female,45,Food & Beverage,3,15.69,Cash,7/10/21,Mall of Istanbul
I194903,C701450,Male,18,Food & Beverage,2,10.46,Cash,9/10/21,Kanyon
I282768,C251490,Female,34,Cosmetics,5,203.3,Credit Card,10/5/21,Forum Istanbul
I183267,C233649,Female,47,Clothing,2,600.16,Cash,23/06/2022,Metropol AVM
I305989,C145572,Female,37,Souvenir,2,23.46,Debit Card,9/2/22,Metropol AVM
I246661,C234241,Male,37,Clothing,2,600.16,Credit Card,19/06/2021,Metrocity
I256106,C295003,Female,52,Technology,4,4200.0,Credit Card,4/9/22,Istinye Park
I177550,C274419,Male,36,Cosmetics,3,121.98,Cash,20/12/2021,Kanyon
I864601,C531676,Female,46,Clothing,2,600.16,Debit Card,9/9/21,Metropol AVM
I699675,C131813,Female,31,Toys,1,35.84,Cash,28/02/2022,Zorlu Center
I991007,C327238,Male,46,Clothing,5,1500.4,Cash,27/03/2021,Mall of Istanbul
I182684,C188744,Female,61,Toys,5,179.2,Cash,22/01/2023,Mall of Istanbul
I941230,C197391,Female,31,Clothing,2,600.16,Credit Card,21/03/2022,Viaport Outlet
I214566,C111732,Female,47,Food & Beverage,2,10.46,Debit Card,17/11/2021,Kanyon
I112587,C337258,Female,32,Clothing,2,600.16,Debit Card,22/06/2021,Metrocity
I220364,C320290,Male,35,Food & Beverage,4,20.92,Credit Card,18/04/2022,Zorlu Center
I172133,C103727,Male,40,Food & Beverage,2,10.46,Credit Card,28/01/2022,Metrocity
I284445,C191032,Female,51,Clothing,4,1200.32,Debit Card,20/11/2022,Emaar Square Mall
I226345,C129551,Male,31,Food & Beverage,1,5.23,Cash,13/02/2022,Cevahir AVM
I162597,C897908,Female,56,Food & Beverage,5,26.15,Credit Card,18/02/2022,Metropol AVM
I143771,C288970,Female,37,Technology,1,1050.0,Cash,14/02/2021,Kanyon
I236718,C949246,Female,34,Clothing,2,600.16,Credit Card,22/07/2022,Mall of Istanbul
I121039,C147520,Male,41,Food & Beverage,3,15.69,Credit Card,22/12/2021,Metropol AVM
I303754,C301830,Male,66,Toys,3,107.52,Credit Card,9/12/21,Kanyon
I253090,C106836,Female,48,Technology,5,5250.0,Credit Card,11/7/22,Mall of Istanbul
I746610,C209668,Female,50,Clothing,2,600.16,Credit Card,5/9/21,Kanyon
I290243,C268559,Male,49,Technology,4,4200.0,Cash,18/08/2021,Kanyon
I333204,C307218,Male,64,Books,2,30.3,Cash,26/10/2021,Istinye Park
I822314,C415826,Male,66,Food & Beverage,2,10.46,Cash,6/10/21,Mall of Istanbul
I781392,C914133,Female,53,Shoes,2,1200.34,Cash,7/5/22,Istinye Park
I651448,C209721,Male,65,Books,2,30.3,Cash,10/10/21,Zorlu Center
I682025,C270502,Female,57,Cosmetics,5,203.3,Credit Card,23/08/2021,Forum Istanbul
I414602,C207331,Female,26,Toys,5,179.2,Cash,9/12/21,Mall of Istanbul
I440744,C251329,Male,20,Food & Beverage,1,5.23,Cash,4/2/21,Metropol AVM
I282747,C204548,Female,46,Clothing,5,1500.4,Credit Card,10/8/22,Mall of Istanbul
I614794,C289636,Female,66,Food & Beverage,3,15.69,Cash,21/01/2021,Metrocity
I110367,C337045,Male,50,Cosmetics,2,81.32,Debit Card,6/1/23,Metropol AVM
I127029,C226912,Male,65,Clothing,2,600.16,Debit Card,17/02/2022,Forum Istanbul
