,index,invoice_no,customer_id,gender, age ,category,quantity,Price,payment_method,invoice_date,shopping_mall
1034,76296,I259147,C826416,Female,40,Shoes,5,3000.85,Debit Card,2/12/22,Metrocity
3178,52180,I718972,C551477,Female,18,Cosmetics,1,40.66,Debit Card,5/3/21,Mall of Istanbul
3001,92441,I127560,C743112,Male,46,Toys,4,143.36,Credit Card,8/1/21,Cevahir AVM
2487,75718,I307745,C206683,Female,53,Shoes,2,1200.34,Cash,7/9/21,Kanyon
2807,25918,I774065,C437365,Male,69,Clothing,4,1200.32,Credit Card,11/5/22,Metrocity
2643,69288,I899426,C319812,Female,23,Food & Beverage,3,15.69,Cash,16/12/2022,Mall of Istanbul
4956,17582,I736837,C228451,Male,61,Clothing,1,300.08,Credit Card,21/07/2021,Forum Istanbul
1244,13849,I203444,C206588,Male,64,Clothing,3,900.24,Credit Card,23/04/2022,Metropol AVM
1521,94548,I113687,C127361,Female,30,Toys,3,107.52,Credit Card,14/06/2022,Mall of Istanbul
3132,83997,I131225,C339538,Male,59,Souvenir,1,11.73,Cash,27/11/2021,Kanyon
2091,40043,I186298,C125552,Male,41,Cosmetics,2,81.32,Cash,2/11/21,Metrocity
2930,82007,I132311,C843458,Female,36,Souvenir,1,11.73,Cash,30/11/2021,Istinye Park
4348,33808,I267031,C783884,Female,51,Clothing,1,300.08,Cash,10/9/21,Emaar Square Mall
1216,45735,I161079,C986019,Female,22,Cosmetics,1,40.66,Cash,25/03/2021,Metrocity
1019,22515,I115231,C317451,Male,22,Clothing,1,300.08,Cash,5/6/22,Metrocity
4499,52694,I207967,C280900,Female,47,Cosmetics,5,203.3,Cash,15/01/2023,Viaport Outlet
2167,63758,I532292,C303769,Female,41,Food & Beverage,5,26.15,Credit Card,4/6/22,Mall of Istanbul
3821,15524,I222169,C466583,Female,38,Clothing,1,300.08,Cash,18/11/2021,Metrocity
4000,56313,I309590,C141226,Female,45,Food & Beverage,2,10.46,Cash,12/6/22,Mall of Istanbul
3127,57119,I127332,C279986,Male,34,Food & Beverage,5,26.15,Credit Card,1/6/22,Kanyon
609,81821,I250279,C251412,Female,64,Souvenir,2,23.46,Cash,28/11/2022,Metropol AVM
1429,54834,I177082,C264631,Male,50,Food & Beverage,3,15.69,Credit Card,22/04/2022,Mall of Istanbul
3465,58007,I136724,C142414,Female,41,Food & Beverage,2,10.46,Cash,31/01/2021,Metropol AVM
3675,34578,I146919,C229284,Female,,Clothing,1,300.08,Credit Card,25/08/2022,Metropol AVM
370,36035,I308071,C669763,Male,,Clothing,2,600.16,Cash,20/04/2021,Kanyon
3506,61460,I788617,C284976,Male,,Food & Beverage,1,5.23,Cash,25/05/2022,Metrocity
1800,19292,I434211,C250729,Male,,Clothing,5,1500.4,Debit Card,3/1/21,Kanyon
1406,31625,I334018,C157039,Female,,Clothing,4,1200.32,Cash,27/05/2021,Metrocity
2239,45099,I262606,C182409,Female,,Cosmetics,5,203.3,Cash,11/4/21,Kanyon
889,3034,I315534,C281186,Male,,Books,3,45.45,Cash,26/05/2022,Istinye Park
2875,68304,I278277,C140379,Male,,Food & Beverage,2,10.46,Credit Card,19/02/2023,Zorlu Center
3818,78487,I179812,C195744,Female,,Shoes,4,2400.68,Cash,19/05/2021,Metrocity
4708,31154,I564439,C218188,Male,,Clothing,4,1200.32,Credit Card,25/09/2021,Forum Istanbul
4023,80910,I354722,C288487,Male,36,Souvenir,2,23.46,Cash,21/02/2023,Zorlu Center
4253,9060,I212681,C285223,Male,44,Clothing,5,1500.4,Credit Card,18/11/2022,Metrocity
4800,41626,I873022,C180621,Female,48,Cosmetics,4,162.64,Cash,10/2/22,Mall of Istanbul
4916,38646,I183860,C328454,Male,69,Clothing,2,600.16,Credit Card,11/8/22,Kanyon
1882,70821,I143452,C238871,Female,56,Shoes,3,1800.51,Cash,28/08/2022,Viaport Outlet
1821,59141,I216318,C220889,Female,40,Food & Beverage,2,10.46,Debit Card,11/7/21,Cevahir AVM
3726,5823,I210408,C299930,Female,68,Clothing,1,300.08,Debit Card,14/01/2022,Mall of Istanbul
385,6925,I264652,C123916,Male,27,Clothing,2,600.16,Debit Card,9/11/21,Mall of Istanbul
3790,66738,I323156,C156146,Female,63,Food & Beverage,3,15.69,Cash,13/01/2023,Metropol AVM
2918,82114,I158360,C249587,Female,48,Souvenir,3,35.19,Credit Card,14/07/2021,Mall of Istanbul
1197,80653,I118728,C405024,Female,60,Souvenir,1,11.73,Debit Card,16/03/2022,Kanyon
3883,95026,I648109,C229152,Female,50,Toys,1,35.84,Credit Card,15/02/2021,Metropol AVM
3497,28579,I220585,C213889,Female,20,Clothing,2,600.16,Debit Card,28/04/2022,Metrocity
1491,22750,I232831,C559759,Male,28,Clothing,3,900.24,Cash,14/06/2021,Cevahir AVM
2953,71218,I329293,C148102,Male,50,Shoes,4,2400.68,Credit Card,7/1/23,Cevahir AVM
4231,41726,I141425,C923536,Female,49,Cosmetics,4,162.64,Credit Card,26/06/2021,Istinye Park
2724,6241,I240177,C183066,Female,67,Clothing,1,300.08,Cash,18/04/2022,Mall of Istanbul
3886,37267,I112803,C421390,Male,46,Clothing,3,900.24,Credit Card,4/6/22,Kanyon
2871,68420,I388131,C107940,Female,62,Food & Beverage,4,20.92,Cash,13/10/2021,Kanyon
2440,67577,I284911,C539241,Female,34,,4,20.92,Cash,19/04/2021,Emaar Square Mall
4705,70120,I100223,C212702,Female,45,,5,3000.85,Credit Card,21/11/2022,Metrocity
4951,15622,I103348,C268967,Male,62,,5,1500.4,Cash,19/07/2021,Istinye Park
2022,80252,I955907,C180678,Male,63,,5,58.65,Cash,17/10/2021,Viaport Outlet
4034,16699,I149086,C322416,Male,25,,4,1200.32,Cash,1/1/23,Kanyon
2999,32840,I367186,C240393,Female,55,Clothing,3,900.24,Cash,27/04/2021,Kanyon
2441,1920,I123110,C310349,Female,64,Books,3,45.45,Debit Card,18/02/2023,Viaport Outlet
1227,32938,I253852,C358145,Female,29,Clothing,2,600.16,Cash,20/04/2021,Mall of Istanbul
3468,68154,I968797,C601122,Female,52,Food & Beverage,5,26.15,Credit Card,9/5/21,Mall of Istanbul
2727,88873,I225487,C111113,Female,54,Technology,4,4200,Debit Card,1/1/23,Metropol AVM
1592,81255,I147597,C146925,Female,23,Souvenir,1,11.73,Cash,11/4/21,Mall of Istanbul
1196,70847,I115125,C850581,Male,53,Shoes,3,1800.51,Cash,27/02/2021,Forum Istanbul
1577,23072,I265177,C625412,Male,20,Clothing,2,600.16,Credit Card,16/11/2021,Mall of Istanbul
1714,34,I338411,C884264,Male,60,Book,5,75.75,Credit Card,17/01/2023,Mall of Istanbul
3784,12101,I182436,C246039,Female,40,Clothing,4,1200.32,Cash,27/08/2022,Mall of Istanbul
2396,12297,I108703,C298476,Female,62,Clothing,2,600.16,Cash,18/02/2023,Kanyon
2582,56883,I140911,C154161,Male,61,Food & Beverage,5,26.15,Debit Card,15/08/2022,Mall of Istanbul
3310,30017,I377660,C273951,Female,33,Clothing,4,1200.32,Credit Card,13/11/2022,Metropol AVM
4139,69565,I323790,C212937,Female,58,Shoes,5,3000.85,Credit Card,16/10/2021,Zorlu Center
