,Gender,Age,Category,Quantity,Price,Payment_method,Datetime,Shopping_mall
0,Male,52,Clothing,2,600.16,Cash,25/07/2021,Zorlu Center
1,Female,26,Souvenir,3,35.19,Credit Card,10/1/23,Mall of Istanbul
2,Male,33,Food & Beverage,4,20.92,Credit Card,2/4/21,Istinye Park
3,Female,51,Toys,3,107.52,Cash,28/10/2022,Mall of Istanbul
4,Female,20,Souvenir,1,11.73,Credit Card,1/3/22,Mall of Istanbul
5,Female,58,Shoes,4,2400.68,Cash,9/8/21,Mall of Istanbul
6,Male,22,Shoes,1,600.17,Cash,25/07/2021,Metrocity
7,Male,24,Cosmetics,2,81.32,Cash,23/07/2022,Metrocity
8,Female,54,Shoes,2,1200.34,Cash,25/02/2023,Istinye Park
9,Female,29,Clothing,1,300.08,Debit Card,8/9/21,Viaport Outlet
10,Female,24,Clothing,4,1200.32,Cash,21/11/2021,Metrocity
11,Female,56,Toys,4,143.36,Credit Card,31/08/2022,Kanyon
12,Male,27,Shoes,2,1200.34,Credit Card,5/7/21,Kanyon
13,Male,58,Clothing,3,900.24,Debit Card,23/06/2021,Kanyon
14,Female,45,Food & Beverage,3,15.69,Cash,7/10/21,Mall of Istanbul
15,Male,18,Food & Beverage,2,10.46,Cash,9/10/21,Kanyon
16,Female,34,Cosmetics,5,203.3,Credit Card,10/5/21,Forum Istanbul
17,Female,47,Clothing,2,600.16,Cash,23/06/2022,Metropol AVM
18,Female,37,Souvenir,2,23.46,Debit Card,9/2/22,Metropol AVM
19,Male,37,Clothing,2,600.16,Credit Card,19/06/2021,Metrocity
20,Female,52,Technology,4,4200.0,Credit Card,4/9/22,Istinye Park
21,Male,36,Cosmetics,3,121.98,Cash,20/12/2021,Kanyon
22,Female,46,Clothing,2,600.16,Debit Card,9/9/21,Metropol AVM
23,Female,31,Toys,1,35.84,Cash,28/02/2022,Zorlu Center
24,Male,46,Clothing,5,1500.4,Cash,27/03/2021,Mall of Istanbul
25,Female,61,Toys,5,179.2,Cash,22/01/2023,Mall of Istanbul
26,Female,31,Clothing,2,600.16,Credit Card,21/03/2022,Viaport Outlet
27,Female,47,Food & Beverage,2,10.46,Debit Card,17/11/2021,Kanyon
28,Female,32,Clothing,2,600.16,Debit Card,22/06/2021,Metrocity
29,Male,35,Food & Beverage,4,20.92,Credit Card,18/04/2022,Zorlu Center
30,Male,40,Food & Beverage,2,10.46,Credit Card,28/01/2022,Metrocity
31,Female,51,Clothing,4,1200.32,Debit Card,20/11/2022,Emaar Square Mall
32,Male,31,Food & Beverage,1,5.23,Cash,13/02/2022,Cevahir AVM
33,Female,56,Food & Beverage,5,26.15,Credit Card,18/02/2022,Metropol AVM
34,Female,37,Technology,1,1050.0,Cash,14/02/2021,Kanyon
35,Female,34,Clothing,2,600.16,Credit Card,22/07/2022,Mall of Istanbul
36,Male,41,Food & Beverage,3,15.69,Credit Card,22/12/2021,Metropol AVM
37,Male,66,Toys,3,107.52,Credit Card,9/12/21,Kanyon
38,Female,48,Technology,5,5250.0,Credit Card,11/7/22,Mall of Istanbul
39,Female,50,Clothing,2,600.16,Credit Card,5/9/21,Kanyon
40,Male,49,Technology,4,4200.0,Cash,18/08/2021,Kanyon
41,Male,64,Books,2,30.3,Cash,26/10/2021,Istinye Park
42,Male,66,Food & Beverage,2,10.46,Cash,6/10/21,Mall of Istanbul
43,Female,53,Shoes,2,1200.34,Cash,7/5/22,Istinye Park
44,Male,65,Books,2,30.3,Cash,10/10/21,Zorlu Center
45,Female,57,Cosmetics,5,203.3,Credit Card,23/08/2021,Forum Istanbul
46,Female,26,Toys,5,179.2,Cash,9/12/21,Mall of Istanbul
47,Male,20,Food & Beverage,1,5.23,Cash,4/2/21,Metropol AVM
48,Female,46,Clothing,5,1500.4,Credit Card,10/8/22,Mall of Istanbul
49,Female,66,Food & Beverage,3,15.69,Cash,21/01/2021,Metrocity
50,Male,50,Cosmetics,2,81.32,Debit Card,6/1/23,Metropol AVM
51,Male,65,Clothing,2,600.16,Debit Card,17/02/2022,Forum Istanbul
52,Female,62,Clothing,4,1200.32,Credit Card,19/03/2021,Forum Istanbul
53,Male,57,Clothing,3,900.24,Debit Card,24/05/2021,Kanyon
54,Male,19,Toys,2,71.68,Cash,25/07/2022,Mall of Istanbul
55,Female,40,Food & Beverage,2,10.46,Cash,8/8/22,Mall of Istanbul
56,Female,50,Technology,2,2100.0,Credit Card,21/12/2022,Metrocity
57,Female,45,Food & Beverage,4,20.92,Debit Card,4/11/21,Metrocity
58,Female,40,Books,4,60.6,Credit Card,16/12/2022,Kanyon
59,Female,56,Clothing,5,1500.4,Credit Card,16/07/2021,Mall of Istanbul
60,Male,23,Clothing,2,600.16,Cash,13/02/2022,Kanyon
61,Male,67,Clothing,1,300.08,Cash,14/07/2022,Mall of Istanbul
62,Female,63,Books,2,30.3,Debit Card,26/03/2022,Istinye Park
63,Male,41,Clothing,4,1200.32,Debit Card,21/01/2021,Mall of Istanbul
64,Female,21,Books,4,60.6,Debit Card,2/8/21,Mall of Istanbul
65,Female,50,Clothing,4,1200.32,Credit Card,30/11/2021,Kanyon
66,Female,48,Clothing,1,300.08,Cash,24/02/2021,Kanyon
67,Female,22,Clothing,1,300.08,Cash,18/03/2022,Kanyon
68,Female,46,Food & Beverage,4,20.92,Cash,5/6/21,Mall of Istanbul
69,Male,36,Cosmetics,4,162.64,Debit Card,19/08/2022,Emaar Square Mall
70,Male,38,Technology,5,5250.0,Cash,14/04/2022,Kanyon
71,Female,52,Clothing,2,600.16,Cash,23/07/2021,Metropol AVM
72,Male,59,Clothing,2,600.16,Debit Card,30/08/2022,Metropol AVM
73,Female,37,Shoes,4,2400.68,Cash,4/8/22,Metropol AVM
74,Male,50,Toys,4,143.36,Credit Card,10/3/22,Mall of Istanbul
75,Female,19,Shoes,5,3000.85,Cash,7/6/22,Mall of Istanbul
76,Female,67,Shoes,3,1800.51,Cash,17/02/2022,Metropol AVM
77,Female,24,Souvenir,1,11.73,Cash,14/11/2021,Metrocity
78,Male,46,Technology,4,4200.0,Credit Card,27/12/2022,Cevahir AVM
79,Male,56,Food & Beverage,4,20.92,Cash,9/3/21,Kanyon
80,Female,27,Toys,1,35.84,Credit Card,4/4/22,Mall of Istanbul
81,Female,55,Cosmetics,3,121.98,Credit Card,6/12/22,Metrocity
82,Male,29,Shoes,2,1200.34,Debit Card,26/10/2021,Metrocity
83,Female,53,Souvenir,4,46.92,Credit Card,30/05/2021,Kanyon
84,Female,34,Food & Beverage,2,10.46,Cash,8/4/21,Emaar Square Mall
85,Female,27,Toys,4,143.36,Cash,18/11/2022,Cevahir AVM
86,Female,58,Cosmetics,4,162.64,Cash,24/02/2023,Kanyon
87,Female,36,Cosmetics,5,203.3,Cash,9/3/21,Zorlu Center
88,Male,24,Cosmetics,3,121.98,Credit Card,26/09/2021,Mall of Istanbul
89,Female,58,Clothing,3,900.24,Cash,10/10/22,Metrocity
90,Male,47,Shoes,2,1200.34,Credit Card,15/12/2021,Kanyon
91,Male,64,Clothing,3,900.24,Cash,2/2/23,Zorlu Center
92,Male,62,Food & Beverage,5,26.15,Cash,23/05/2022,Mall of Istanbul
93,Female,47,Books,4,60.6,Debit Card,11/9/22,Metropol AVM
94,Male,29,Clothing,5,1500.4,Debit Card,13/02/2022,Kanyon
95,Male,50,Clothing,3,900.24,Cash,18/09/2021,Metropol AVM
96,Female,64,Technology,3,3150.0,Cash,6/1/22,Cevahir AVM
97,Female,63,Clothing,3,900.24,Credit Card,14/04/2021,Metropol AVM
98,Female,44,Clothing,4,1200.32,Cash,26/04/2021,Istinye Park
99,Male,23,Technology,4,4200.0,Credit Card,10/5/22,Metrocity
100,Male,57,Toys,2,71.68,Debit Card,12/5/22,Metropol AVM
101,Female,69,Technology,2,2100.0,Debit Card,14/01/2023,Mall of Istanbul
102,Male,48,Clothing,2,600.16,Cash,11/4/21,Zorlu Center
103,Female,44,Clothing,2,600.16,Cash,9/8/22,Mall of Istanbul
104,Male,65,Souvenir,5,58.65,Cash,11/10/21,Kanyon
105,Female,18,Shoes,1,600.17,Cash,17/09/2022,Metropol AVM
106,Female,37,Food & Beverage,5,26.15,Credit Card,30/07/2022,Mall of Istanbul
107,Male,63,Clothing,5,1500.4,Credit Card,2/5/22,Metrocity
108,Male,63,Toys,2,71.68,Cash,26/09/2022,Cevahir AVM
109,Male,68,Clothing,1,300.08,Cash,13/06/2021,Metrocity
110,Female,51,Clothing,5,1500.4,Cash,1/5/22,Emaar Square Mall
111,Female,22,Books,1,15.15,Credit Card,22/11/2022,Zorlu Center
112,Male,18,Clothing,1,300.08,Cash,11/10/21,Metropol AVM
