gender,age,category,quantity,total_price,payment_method,datetime,shopping_mall
Female,34,Clothing,5,1500.4,Credit Card,2021-06-11,Kanyon
Male,18,Clothing,1,300.08,Credit Card,2023-10-02,Zorlu Center
Female,42,Cosmetics,3,121.98,Cash,2022-07-17,Istinye Park
Female,23,Food & Beverage,2,10.46,Debit Card,2022-04-16,Metrocity
Male,65,Books,2,30.3,Credit Card,2022-10-27,Cevahir AVM
Male,43,Clothing,3,900.24,Credit Card,2023-01-24,Zorlu Center
Male,33,Technology,4,4200.0,Cash,2021-07-06,Istinye Park
Male,24,Clothing,5,1500.4,Credit Card,2021-01-01,Kanyon
Male,52,Toys,1,35.84,Credit Card,2021-01-05,Metrocity
Male,47,Food & Beverage,3,15.69,Cash,2023-06-01,Istinye Park
Female,20,Food & Beverage,3,15.69,Credit Card,2022-09-05,Mall of Istanbul
Female,48,Technology,4,4200.0,Credit Card,2021-04-08,Kanyon
Male,55,Souvenir,1,11.73,Debit Card,2022-04-04,Istinye Park
Male,24,Clothing,2,600.16,Cash,2021-08-18,Forum Istanbul
Female,34,Clothing,2,600.16,Cash,2021-03-21,Zorlu Center
Female,69,Books,1,15.15,Credit Card,2023-02-26,Emaar Square Mall
Female,69,Clothing,1,300.08,Cash,2021-08-21,Cevahir AVM
Male,50,Clothing,1,300.08,Cash,2022-10-20,Metrocity
Female,59,Food & Beverage,2,10.46,Credit Card,2021-11-29,Istinye Park
Female,22,Food & Beverage,3,15.69,Credit Card,2022-06-17,Cevahir AVM
Male,50,Food & Beverage,4,20.92,Cash,2021-04-27,Istinye Park
Female,32,Toys,2,71.68,Debit Card,2021-06-30,Forum Istanbul
Female,43,Shoes,1,600.17,Debit Card,2022-09-25,Istinye Park
Male,50,Shoes,1,600.17,Cash,2022-03-05,Kanyon
Male,39,Clothing,3,900.24,Debit Card,2021-12-29,Viaport Outlet
Female,24,Cosmetics,5,203.3,Credit Card,2023-01-28,Kanyon
Male,42,Food & Beverage,1,5.23,Cash,2023-02-26,Mall of Istanbul
Male,38,Food & Beverage,2,10.46,Debit Card,2022-03-11,Forum Istanbul
Female,27,Clothing,4,1200.32,Credit Card,2022-10-15,Metropol AVM
Male,18,Technology,1,1050.0,Cash,2023-09-01,Metropol AVM
Male,61,Clothing,1,300.08,Cash,2021-12-31,Mall of Istanbul
Female,21,Clothing,2,600.16,Cash,2022-06-17,Istinye Park
Female,62,Cosmetics,4,162.64,Debit Card,2022-07-28,Mall of Istanbul
Female,43,Clothing,4,1200.32,Cash,2021-05-04,Mall of Istanbul
Male,53,Clothing,3,900.24,Credit Card,2022-04-19,Forum Istanbul
Female,42,Clothing,1,300.08,Credit Card,2021-02-08,Istinye Park
Male,47,Clothing,5,1500.4,Cash,2022-06-14,Mall of Istanbul
Female,28,Cosmetics,3,121.98,Credit Card,2022-04-25,Metropol AVM
Male,45,Clothing,5,1500.4,Cash,2022-06-16,Metropol AVM
Female,62,Cosmetics,5,203.3,Credit Card,2022-04-19,Istinye Park
Female,58,Toys,1,35.84,Cash,2021-10-01,Mall of Istanbul
Male,28,Food & Beverage,1,5.23,Cash,2022-03-01,Mall of Istanbul
Female,43,Clothing,4,1200.32,Credit Card,2022-06-10,Zorlu Center
Female,61,Toys,3,107.52,Credit Card,2021-07-26,Kanyon
Female,33,Toys,3,107.52,Cash,2023-01-01,Kanyon
Male,20,Technology,1,1050.0,Debit Card,2022-11-30,Mall of Istanbul
Male,36,Shoes,4,2400.68,Credit Card,2022-04-08,Metrocity
Male,49,Souvenir,5,58.65,Credit Card,2023-07-02,Metrocity
Female,27,Clothing,5,1500.4,Cash,2021-09-12,Forum Istanbul
Female,22,Food & Beverage,4,20.92,Cash,2021-09-14,Cevahir AVM
Female,47,Clothing,4,1200.32,Credit Card,2021-10-06,Metropol AVM
Female,48,Clothing,4,1200.32,Debit Card,2021-02-24,Forum Istanbul
Male,47,Clothing,4,1200.32,Debit Card,2021-03-01,Viaport Outlet
Female,60,Food & Beverage,3,15.69,Credit Card,2022-12-08,Forum Istanbul
Male,27,Cosmetics,3,121.98,Credit Card,2021-01-26,Cevahir AVM
Male,46,Cosmetics,2,81.32,Credit Card,2021-05-29,Mall of Istanbul
Male,60,Cosmetics,3,121.98,Debit Card,2021-08-21,Viaport Outlet
Male,33,Toys,4,143.36,Cash,2021-06-07,Metrocity
Female,45,Toys,5,179.2,Debit Card,2023-01-23,Kanyon
Female,25,Cosmetics,5,203.3,Debit Card,2021-07-30,Zorlu Center
Male,42,Clothing,3,900.24,Cash,2022-01-22,Metrocity
Male,46,Toys,1,35.84,Cash,2021-11-06,Zorlu Center
Female,38,Toys,2,71.68,Cash,2021-09-13,Cevahir AVM
Male,46,Books,1,15.15,Cash,2021-10-24,Forum Istanbul
Female,23,Clothing,3,900.24,Credit Card,2022-10-31,Cevahir AVM
